GEOID,NASS_GEOID,NASS_DIST,DIST_NAME
02068,02010,10,Fairbanks
02090,02010,10,Fairbanks
02240,02010,10,Fairbanks
02290,02010,10,Fairbanks
02020,02020,20,Anchorage
02063,02020,20,Anchorage
02066,02020,20,Anchorage
02170,02020,20,Anchorage
02122,02030,30,Kenai
02100,02040,40,Juneau
02105,02040,40,Juneau
02110,02040,40,Juneau
02130,02040,40,Juneau
02195,02040,40,Juneau
02198,02040,40,Juneau
02220,02040,40,Juneau
02230,02040,40,Juneau
02275,02040,40,Juneau
02282,02040,40,Juneau
02013,02050,50,Aleutian
02016,02050,50,Aleutian
02050,02050,50,Aleutian
02060,02050,50,Aleutian
02070,02050,50,Aleutian
02150,02050,50,Aleutian
02158,02050,50,Aleutian
02164,02050,50,Aleutian
02180,02050,50,Aleutian
02185,02050,50,Aleutian
02188,02050,50,Aleutian
