county,area
Arkansas,988.77
Ashley,925.35
Baxter,554.28
Benton,847.36
Boone,590.23
Bradley,649.23
Calhoun,628.58
Carroll,630.09
Chicot,644.30
Clark,866.07
Clay,639.47
Cleburne,553.69
Cleveland,597.78
Columbia,766.05
Conway,552.25
Craighead,707.21
Crawford,593.09
Crittenden,609.76
Cross,616.38
Dallas,667.39
Desha,768.15
Drew,828.36
Faulkner,647.88
Franklin,608.86
Fulton,618.19
Garland,677.78
Grant,631.81
Greene,577.70
Hempstead,727.52
Hot Spring,615.20
Howard,588.55
Independence,763.95
Izard,580.58
Jackson,633.94
Jefferson,870.75
Johnson,659.80
Lafayette,528.27
Lawrence,587.61
Lee,602.62
Lincoln,561.52
Little River,532.25
Logan,708.13
Lonoke,770.73
Madison,834.26
Marion,597.01
Miller,625.58
Mississippi,900.57
Monroe,607.12
Montgomery,779.88
Nevada,617.84
Newton,820.90
Ouachita,732.78
Perry,551.40
Phillips,695.66
Pike,600.62
Poinsett,758.39
Polk,857.68
Pope,812.55
Prairie,647.96
Pulaski,759.76
Randolph,652.19
Saline,723.60
Scott,892.32
Searcy,666.10
Sebastian,531.91
Sevier,565.13
Sharp,604.44
St Francis,634.77
Stone,606.41
Union,1039.21
Van Buren,708.14
Washington,941.97
White,1035.08
Woodruff,586.79
Yell,929.98
