year,state,county,data item,value
2022,ARKANSAS,ARKANSAS,"AG LAND, CROPLAND, HARVESTED - ACRES",360977
2022,ARKANSAS,ASHLEY,"AG LAND, CROPLAND, HARVESTED - ACRES",111754
2022,ARKANSAS,BAXTER,"AG LAND, CROPLAND, HARVESTED - ACRES",16350
2022,ARKANSAS,BENTON,"AG LAND, CROPLAND, HARVESTED - ACRES",70047
2022,ARKANSAS,BOONE,"AG LAND, CROPLAND, HARVESTED - ACRES",46147
2022,ARKANSAS,BRADLEY,"AG LAND, CROPLAND, HARVESTED - ACRES",6823
2022,ARKANSAS,CALHOUN,"AG LAND, CROPLAND, HARVESTED - ACRES",3214
2022,ARKANSAS,CARROLL,"AG LAND, CROPLAND, HARVESTED - ACRES",45315
2022,ARKANSAS,CHICOT,"AG LAND, CROPLAND, HARVESTED - ACRES",253653
2022,ARKANSAS,CLARK,"AG LAND, CROPLAND, HARVESTED - ACRES",22802
2022,ARKANSAS,CLAY,"AG LAND, CROPLAND, HARVESTED - ACRES",214201
2022,ARKANSAS,CLEBURNE,"AG LAND, CROPLAND, HARVESTED - ACRES",34156
2022,ARKANSAS,CLEVELAND,"AG LAND, CROPLAND, HARVESTED - ACRES",8335
2022,ARKANSAS,COLUMBIA,"AG LAND, CROPLAND, HARVESTED - ACRES",9487
2022,ARKANSAS,CONWAY,"AG LAND, CROPLAND, HARVESTED - ACRES",64146
2022,ARKANSAS,CRAIGHEAD,"AG LAND, CROPLAND, HARVESTED - ACRES",269905
2022,ARKANSAS,CRAWFORD,"AG LAND, CROPLAND, HARVESTED - ACRES",56120
2022,ARKANSAS,CRITTENDEN,"AG LAND, CROPLAND, HARVESTED - ACRES",341923
2022,ARKANSAS,CROSS,"AG LAND, CROPLAND, HARVESTED - ACRES",256027
2022,ARKANSAS,DALLAS,"AG LAND, CROPLAND, HARVESTED - ACRES",2381
2022,ARKANSAS,DESHA,"AG LAND, CROPLAND, HARVESTED - ACRES",242899
2022,ARKANSAS,DREW,"AG LAND, CROPLAND, HARVESTED - ACRES",57619
2022,ARKANSAS,FAULKNER,"AG LAND, CROPLAND, HARVESTED - ACRES",61960
2022,ARKANSAS,FRANKLIN,"AG LAND, CROPLAND, HARVESTED - ACRES",53910
2022,ARKANSAS,FULTON,"AG LAND, CROPLAND, HARVESTED - ACRES",33400
2022,ARKANSAS,GARLAND,"AG LAND, CROPLAND, HARVESTED - ACRES",8531
2022,ARKANSAS,GRANT,"AG LAND, CROPLAND, HARVESTED - ACRES",14885
2022,ARKANSAS,GREENE,"AG LAND, CROPLAND, HARVESTED - ACRES",190252
2022,ARKANSAS,HEMPSTEAD,"AG LAND, CROPLAND, HARVESTED - ACRES",60727
2022,ARKANSAS,HOT SPRING,"AG LAND, CROPLAND, HARVESTED - ACRES",18358
2022,ARKANSAS,HOWARD,"AG LAND, CROPLAND, HARVESTED - ACRES",27537
2022,ARKANSAS,INDEPENDENCE,"AG LAND, CROPLAND, HARVESTED - ACRES",88264
2022,ARKANSAS,IZARD,"AG LAND, CROPLAND, HARVESTED - ACRES",31381
2022,ARKANSAS,JACKSON,"AG LAND, CROPLAND, HARVESTED - ACRES",263397
2022,ARKANSAS,JEFFERSON,"AG LAND, CROPLAND, HARVESTED - ACRES",251794
2022,ARKANSAS,JOHNSON,"AG LAND, CROPLAND, HARVESTED - ACRES",39286
2022,ARKANSAS,LAFAYETTE,"AG LAND, CROPLAND, HARVESTED - ACRES",57872
2022,ARKANSAS,LAWRENCE,"AG LAND, CROPLAND, HARVESTED - ACRES",196029
2022,ARKANSAS,LEE,"AG LAND, CROPLAND, HARVESTED - ACRES",289708
2022,ARKANSAS,LINCOLN,"AG LAND, CROPLAND, HARVESTED - ACRES",175838
2022,ARKANSAS,LITTLE RIVER,"AG LAND, CROPLAND, HARVESTED - ACRES",54739
2022,ARKANSAS,LOGAN,"AG LAND, CROPLAND, HARVESTED - ACRES",73483
2022,ARKANSAS,LONOKE,"AG LAND, CROPLAND, HARVESTED - ACRES",325410
2022,ARKANSAS,MADISON,"AG LAND, CROPLAND, HARVESTED - ACRES",58279
2022,ARKANSAS,MARION,"AG LAND, CROPLAND, HARVESTED - ACRES",19400
2022,ARKANSAS,MILLER,"AG LAND, CROPLAND, HARVESTED - ACRES",93039
2022,ARKANSAS,MISSISSIPPI,"AG LAND, CROPLAND, HARVESTED - ACRES",509082
2022,ARKANSAS,MONROE,"AG LAND, CROPLAND, HARVESTED - ACRES",160038
2022,ARKANSAS,MONTGOMERY,"AG LAND, CROPLAND, HARVESTED - ACRES",17806
2022,ARKANSAS,NEVADA,"AG LAND, CROPLAND, HARVESTED - ACRES",25607
2022,ARKANSAS,NEWTON,"AG LAND, CROPLAND, HARVESTED - ACRES",13714
2022,ARKANSAS,OUACHITA,"AG LAND, CROPLAND, HARVESTED - ACRES",4820
2022,ARKANSAS,PERRY,"AG LAND, CROPLAND, HARVESTED - ACRES",29477
2022,ARKANSAS,PHILLIPS,"AG LAND, CROPLAND, HARVESTED - ACRES",370463
2022,ARKANSAS,PIKE,"AG LAND, CROPLAND, HARVESTED - ACRES",21794
2022,ARKANSAS,POINSETT,"AG LAND, CROPLAND, HARVESTED - ACRES",323983
2022,ARKANSAS,POLK,"AG LAND, CROPLAND, HARVESTED - ACRES",25484
2022,ARKANSAS,POPE,"AG LAND, CROPLAND, HARVESTED - ACRES",62796
2022,ARKANSAS,PRAIRIE,"AG LAND, CROPLAND, HARVESTED - ACRES",219326
2022,ARKANSAS,PULASKI,"AG LAND, CROPLAND, HARVESTED - ACRES",38331
2022,ARKANSAS,RANDOLPH,"AG LAND, CROPLAND, HARVESTED - ACRES",113809
2022,ARKANSAS,ST FRANCIS,"AG LAND, CROPLAND, HARVESTED - ACRES",265707
2022,ARKANSAS,SALINE,"AG LAND, CROPLAND, HARVESTED - ACRES",25131
2022,ARKANSAS,SCOTT,"AG LAND, CROPLAND, HARVESTED - ACRES",30934
2022,ARKANSAS,SEARCY,"AG LAND, CROPLAND, HARVESTED - ACRES",26199
2022,ARKANSAS,SEBASTIAN,"AG LAND, CROPLAND, HARVESTED - ACRES",37024
2022,ARKANSAS,SEVIER,"AG LAND, CROPLAND, HARVESTED - ACRES",31925
2022,ARKANSAS,SHARP,"AG LAND, CROPLAND, HARVESTED - ACRES",24900
2022,ARKANSAS,STONE,"AG LAND, CROPLAND, HARVESTED - ACRES",26858
2022,ARKANSAS,UNION,"AG LAND, CROPLAND, HARVESTED - ACRES",8280
2022,ARKANSAS,VAN BUREN,"AG LAND, CROPLAND, HARVESTED - ACRES",27324
2022,ARKANSAS,WASHINGTON,"AG LAND, CROPLAND, HARVESTED - ACRES",86582
2022,ARKANSAS,WHITE,"AG LAND, CROPLAND, HARVESTED - ACRES",159308
2022,ARKANSAS,WOODRUFF,"AG LAND, CROPLAND, HARVESTED - ACRES",202036
2022,ARKANSAS,YELL,"AG LAND, CROPLAND, HARVESTED - ACRES",70003
