county,2020,2021,2022,2023
"Ada County, Idaho","498,278","513,025","519,004","524,673"
"Adams County, Idaho","4,428","4,623","4,791","4,903"
"Bannock County, Idaho","87,276","88,515","89,625","90,400"
"Bear Lake County, Idaho","6,367","6,567","6,730","6,766"
"Benewah County, Idaho","9,576","9,895","10,291","10,369"
"Bingham County, Idaho","48,097","48,929","49,973","50,395"
"Blaine County, Idaho","24,348","24,782","24,901","25,041"
"Boise County, Idaho","7,664","8,133","8,360","8,517"
"Bonner County, Idaho","47,403","49,633","51,407","52,547"
"Bonneville County, Idaho","124,737","128,064","129,543","131,366"
"Boundary County, Idaho","12,139","12,620","13,272","13,557"
"Butte County, Idaho","2,584","2,666","2,698","2,758"
"Camas County, Idaho","1,084","1,137","1,169","1,232"
"Canyon County, Idaho","233,013","243,710","250,892","257,674"
"Caribou County, Idaho","7,013","7,109","7,200","7,219"
"Cassia County, Idaho","24,760","25,244","25,644","25,696"
"Clark County, Idaho",792,793,810,801
"Clearwater County, Idaho","8,750","8,925","9,035","9,214"
"Custer County, Idaho","4,271","4,446","4,518","4,523"
"Elmore County, Idaho","28,669","28,978","29,391","29,724"
"Franklin County, Idaho","14,282","14,670","15,170","15,494"
"Fremont County, Idaho","13,419","13,591","14,017","14,196"
"Gem County, Idaho","19,272","19,802","20,454","21,071"
"Gooding County, Idaho","15,649","15,793","15,879","16,061"
"Idaho County, Idaho","16,594","17,059","17,637","17,890"
"Jefferson County, Idaho","31,080","32,201","33,336","34,198"
"Jerome County, Idaho","24,270","24,738","25,244","25,479"
"Kootenai County, Idaho","172,785","180,058","183,290","185,010"
"Latah County, Idaho","39,638","40,400","40,924","41,301"
"Lemhi County, Idaho","7,962","8,160","8,284","8,441"
"Lewis County, Idaho","3,527","3,690","3,725","3,739"
"Lincoln County, Idaho","5,134","5,285","5,385","5,450"
"Madison County, Idaho","52,928","54,092","54,958","54,547"
"Minidoka County, Idaho","21,668","21,944","22,208","22,480"
"Nez Perce County, Idaho","42,145","42,500","42,909","42,987"
"Oneida County, Idaho","4,566","4,605","4,740","4,953"
"Owyhee County, Idaho","11,996","12,356","12,645","12,722"
"Payette County, Idaho","25,590","26,386","26,929","27,279"
"Power County, Idaho","7,879","7,975","8,136","8,253"
"Shoshone County, Idaho","13,199","13,615","13,935","14,026"
"Teton County, Idaho","11,735","12,273","12,519","12,549"
"Twin Falls County, Idaho","90,372","92,394","93,821","95,156"
"Valley County, Idaho","11,842","12,256","12,450","12,644"
"Washington County, Idaho","10,558","10,900","11,147","11,425"
