county,2020,2021,2022,2023
"Baker County, Oregon","16,731","16,880","16,937","16,912"
"Benton County, Oregon","95,214","96,321","97,661","97,713"
"Clackamas County, Oregon","422,468","423,804","423,118","423,173"
"Clatsop County, Oregon","41,162","41,932","41,652","41,102"
"Columbia County, Oregon","52,724","53,202","53,607","53,880"
"Coos County, Oregon","64,979","65,126","64,923","64,212"
"Crook County, Oregon","24,929","25,762","26,377","26,952"
"Curry County, Oregon","23,519","23,719","23,613","23,296"
"Deschutes County, Oregon","199,464","205,283","206,483","208,513"
"Douglas County, Oregon","111,295","112,149","112,290","112,435"
"Gilliam County, Oregon","2,016","2,013","2,008","2,026"
"Grant County, Oregon","7,240","7,288","7,225","7,215"
"Harney County, Oregon","7,507","7,602","7,532","7,440"
"Hood River County, Oregon","23,962","24,086","24,035","23,745"
"Jackson County, Oregon","223,620","224,353","221,669","220,768"
"Jefferson County, Oregon","24,581","25,105","25,324","25,454"
"Josephine County, Oregon","88,238","88,637","87,800","87,821"
"Klamath County, Oregon","69,553","70,246","70,190","70,003"
"Lake County, Oregon","8,172","8,290","8,373","8,293"
"Lane County, Oregon","383,308","384,121","382,181","381,181"
"Lincoln County, Oregon","50,510","51,013","50,752","50,821"
"Linn County, Oregon","128,981","130,120","130,622","131,496"
"Malheur County, Oregon","31,642","31,677","31,858","32,044"
"Marion County, Oregon","346,350","347,851","346,719","346,741"
"Morrow County, Oregon","12,221","12,359","12,292","12,302"
"Multnomah County, Oregon","816,514","805,319","794,563","789,698"
"Polk County, Oregon","87,956","89,373","89,593","89,805"
"Sherman County, Oregon","1,871","1,907","1,947","1,951"
"Tillamook County, Oregon","27,461","27,808","27,521","27,417"
"Umatilla County, Oregon","80,108","80,153","80,261","80,053"
"Union County, Oregon","26,173","26,288","26,165","25,944"
"Wallowa County, Oregon","7,406","7,558","7,650","7,674"
"Wasco County, Oregon","26,640","26,739","26,555","26,333"
"Washington County, Oregon","601,130","602,453","600,086","598,865"
"Wheeler County, Oregon","1,454","1,447","1,435","1,436"
"Yamhill County, Oregon","107,945","108,481","108,362","108,644"
