county,2020,2021,2022,2023
"Albany County, Wyoming","37,112","37,854","38,178","38,257"
"Big Horn County, Wyoming","11,484","11,643","11,879","12,018"
"Campbell County, Wyoming","47,147","46,543","47,059","47,498"
"Carbon County, Wyoming","14,509","14,714","14,538","14,334"
"Converse County, Wyoming","13,746","13,662","13,765","13,809"
"Crook County, Wyoming","7,178","7,308","7,419","7,592"
"Fremont County, Wyoming","39,202","39,416","39,566","39,815"
"Goshen County, Wyoming","12,515","12,568","12,636","12,642"
"Hot Springs County, Wyoming","4,621","4,595","4,623","4,661"
"Johnson County, Wyoming","8,467","8,624","8,719","8,759"
"Laramie County, Wyoming","100,730","100,827","100,781","100,984"
"Lincoln County, Wyoming","19,658","20,173","20,671","20,880"
"Natrona County, Wyoming","80,299","79,635","79,523","79,941"
"Niobrara County, Wyoming","2,454","2,416","2,348","2,354"
"Park County, Wyoming","29,669","30,141","30,505","30,735"
"Platte County, Wyoming","8,631","8,677","8,652","8,546"
"Sheridan County, Wyoming","31,000","31,653","32,035","32,519"
"Sublette County, Wyoming","8,736","8,722","8,752","8,969"
"Sweetwater County, Wyoming","42,197","41,626","41,374","41,249"
"Teton County, Wyoming","23,379","23,605","23,297","23,232"
"Uinta County, Wyoming","20,457","20,681","20,727","20,745"
"Washakie County, Wyoming","7,657","7,719","7,724","7,710"
"Weston County, Wyoming","6,816","6,746","6,858","6,808"
