year,state,county,commodity,value
2022,FLORIDA,MARTIN,CUT CHRISTMAS TREES,5
2022,COLORADO,ADAMS,CUT CHRISTMAS TREES,6
2022,OKLAHOMA,OKFUSKEE,CUT CHRISTMAS TREES,6
2022,WEST VIRGINIA,JACKSON,CUT CHRISTMAS TREES,6
2022,NEW MEXICO,RIO ARRIBA,CUT CHRISTMAS TREES,7
2022,KENTUCKY,SPENCER,CUT CHRISTMAS TREES,9
2022,TEXAS,WHARTON,CUT CHRISTMAS TREES,9
2022,MISSOURI,CEDAR,CUT CHRISTMAS TREES,12
2022,NORTH CAROLINA,DURHAM,CUT CHRISTMAS TREES,12
2022,ILLINOIS,LIVINGSTON,CUT CHRISTMAS TREES,15
2022,WEST VIRGINIA,CABELL,CUT CHRISTMAS TREES,15
2022,CALIFORNIA,TULARE,CUT CHRISTMAS TREES,18
2022,FLORIDA,PINELLAS,CUT CHRISTMAS TREES,20
2022,GEORGIA,CHATTOOGA,CUT CHRISTMAS TREES,20
2022,MISSISSIPPI,TIPPAH,CUT CHRISTMAS TREES,20
2022,KANSAS,BROWN,CUT CHRISTMAS TREES,24
2022,KENTUCKY,MARSHALL,CUT CHRISTMAS TREES,24
2022,TEXAS,HILL,CUT CHRISTMAS TREES,24
2022,TEXAS,HARDIN,CUT CHRISTMAS TREES,25
2022,ALABAMA,SAINT CLAIR,CUT CHRISTMAS TREES,30
2022,KENTUCKY,KENTON,CUT CHRISTMAS TREES,30
2022,SOUTH CAROLINA,SPARTANBURG,CUT CHRISTMAS TREES,30
2022,VIRGINIA,CAMPBELL,CUT CHRISTMAS TREES,30
2022,WYOMING,LINCOLN,CUT CHRISTMAS TREES,30
2022,NEW MEXICO,TAOS,CUT CHRISTMAS TREES,34
2022,IOWA,SIOUX,CUT CHRISTMAS TREES,36
2022,MICHIGAN,CRAWFORD,CUT CHRISTMAS TREES,40
2022,TEXAS,SAN JACINTO,CUT CHRISTMAS TREES,40
2022,ALABAMA,ETOWAH,CUT CHRISTMAS TREES,45
2022,WASHINGTON,OKANOGAN,CUT CHRISTMAS TREES,45
2022,UTAH,SANPETE,CUT CHRISTMAS TREES,46
2022,GEORGIA,COWETA,CUT CHRISTMAS TREES,48
2022,WASHINGTON,JEFFERSON,CUT CHRISTMAS TREES,48
